Aaden has 	 fav team: Cardinals 	 RedSox friends: 47 	 Cardinals friends: 18
Brett has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 63
Bria has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 32
Brian has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 34
Briana has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 31
Brianna has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 16
Brice has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 33
Bridger has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 52
Bridget has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 28
Briella has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 31
Brielle has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 32
Briggs has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 29
Briley has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 45
Brinley has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 35
Brisa has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 47
Bristol has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 22
Britney has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 29
Brittany has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 50
Brock has 	 fav team: Cardinals 	 RedSox friends: 17 	 Cardinals friends: 38
Broderick has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 50
Brodie has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 49
Brody has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 20
Brogan has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 26
Bronson has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 35
Brooke has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 48
Brooklyn has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 26
Brooklynn has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 54
Brooks has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 41
Bruce has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 26
Bruno has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 49
Bryan has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 46
Bryanna has 	 fav team: Cardinals 	 RedSox friends: 39 	 Cardinals friends: 43
Bryant has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 49
Bryce has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 36
Brycen has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 42
Brylee has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 27
Bryleigh has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 27
Bryn has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 33
Brynlee has 	 fav team: Red Sox 	 RedSox friends: 63 	 Cardinals friends: 27
Brynn has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 42
Bryson has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 55
Byron has 	 fav team: Red Sox 	 RedSox friends: 35 	 Cardinals friends: 23
Cade has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 21
Caden has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 35
Cadence has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 32
Cael has 	 fav team: Cardinals 	 RedSox friends: 39 	 Cardinals friends: 54
Caiden has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 34
Cailyn has 	 fav team: Red Sox 	 RedSox friends: 60 	 Cardinals friends: 26
Cain has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 45
Caitlin has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 48
Caitlyn has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 62
Cale has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 24
Caleb has 	 fav team: Red Sox 	 RedSox friends: 60 	 Cardinals friends: 30
Cali has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 33
Callan has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 47
Callen has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 37
Callie has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 28
Callum has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 24
Calvin has 	 fav team: Red Sox 	 RedSox friends: 68 	 Cardinals friends: 30
Cambria has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 30
Camden has 	 fav team: Red Sox 	 RedSox friends: 39 	 Cardinals friends: 32
Camdyn has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 29
Cameron has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 45
Camila has 	 fav team: Red Sox 	 RedSox friends: 66 	 Cardinals friends: 30
Camilla has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 41
Camille has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 35
Camilo has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 47
Campbell has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 30
Camren has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 35
Camron has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 47
Camryn has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 31
Cannon has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 42
Cara has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 33
Carissa has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 34
Carl has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 19
Carla has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 41
Carlee has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 39
Carleigh has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 39
Carley has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 48
Carlie has 	 fav team: Cardinals 	 RedSox friends: 39 	 Cardinals friends: 51
Carlos has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 40
Carly has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 44
Carmelo has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 46
Carmen has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 42
Carolina has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 60
Caroline has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 60
Carolyn has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 48
Carson has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 33
Carter has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 48
Case has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 29
Casen has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 46
Casey has 	 fav team: Red Sox 	 RedSox friends: 60 	 Cardinals friends: 31
Cash has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 47
Cason has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 24
Cassandra has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 20
Cassidy has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 36
Cassius has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 40
Cataleya has 	 fav team: Red Sox 	 RedSox friends: 67 	 Cardinals friends: 21
Catalina has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 46
Catherine has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 30
Cayden has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 25
Caylee has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 32
Cayson has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 50
Cecelia has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 45
Cecilia has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 30
Cedric has 	 fav team: Cardinals 	 RedSox friends: 19 	 Cardinals friends: 48
Celeste has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 41
Celia has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 25
Celine has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 44
Cesar has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 56
Chace has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 53
Chad has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 28
Chaim has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 47
Chana has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 30
Chance has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 48
Chandler has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 61
Chanel has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 46
Channing has 	 fav team: Cardinals 	 RedSox friends: 19 	 Cardinals friends: 51
Charity has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 32
Charlee has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 28
Charleigh has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 50
Charles has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 43
Charley has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 62
Charli has 	 fav team: Cardinals 	 RedSox friends: 22 	 Cardinals friends: 39
Charlie has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 31
Charlize has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 29
Charlotte has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 41
Chase has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 21
Chaya has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 49
Chelsea has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 42
Cherish has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 48
Cheyanne has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 27
Cheyenne has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 32
Chloe has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 27
Chris has 	 fav team: Red Sox 	 RedSox friends: 63 	 Cardinals friends: 33
Christian has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 54
Christina has 	 fav team: Red Sox 	 RedSox friends: 39 	 Cardinals friends: 20
Christine has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 22
Christopher has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 24
Ciara has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 49
Cindy has 	 fav team: Red Sox 	 RedSox friends: 64 	 Cardinals friends: 31
Claire has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 30
Clara has 	 fav team: Cardinals 	 RedSox friends: 41 	 Cardinals friends: 47
Clare has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 40
Clarissa has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 34
Clark has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 53
Claudia has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 56
Clay has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 23
Clayton has 	 fav team: Red Sox 	 RedSox friends: 32 	 Cardinals friends: 27
Clinton has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 31
Cody has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 21
Cohen has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 49
Colby has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 23
Cole has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 50
Coleman has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 25
Colette has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 36
Colin has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 27
Collin has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 35
Collins has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 24
Colt has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 32
Colten has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 46
Colton has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 47
Conner has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 37
Connor has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 31
Conor has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 23
Conrad has 	 fav team: Cardinals 	 RedSox friends: 22 	 Cardinals friends: 46
Cooper has 	 fav team: Red Sox 	 RedSox friends: 57 	 Cardinals friends: 23
Cora has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 47
Coraline has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 29
Corbin has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 38
Corey has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 53
Corinne has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 49
Cory has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 44
Courtney has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 53
Craig has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 33
Crew has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 30
Cristian has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 54
Cristina has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 47
Cristopher has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 37
Crosby has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 22
Cruz has 	 fav team: Red Sox 	 RedSox friends: 69 	 Cardinals friends: 28
Crystal has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 48
Cullen has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 44
Curtis has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 48
Cynthia has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 49
Cyrus has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 30
Dahlia has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 46
Daisy has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 55
Dakota has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 34
Dalilah has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 29
Dallas has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 42
Dalton has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 42
Damari has 	 fav team: Cardinals 	 RedSox friends: 19 	 Cardinals friends: 59
Damarion has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 33
Damian has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 37
Damien has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 44
Damion has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 54
Damon has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 24
Dana has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 28
Dane has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 24
Dangelo has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 36
Danica has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 35
Daniel has 	 fav team: Red Sox 	 RedSox friends: 37 	 Cardinals friends: 34
Daniela has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 36
Daniella has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 56
Danielle has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 17
Danika has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 58
Danna has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 42
Danny has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 48
Dante has 	 fav team: Cardinals 	 RedSox friends: 34 	 Cardinals friends: 42
Daphne has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 54
Darian has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 39
Dariel has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 24
Darien has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 29
Dario has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 48
Darius has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 52
Darnell has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 28
Darrell has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 59
Darren has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 27
Darryl has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 27
Darwin has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 49
Davian has 	 fav team: Cardinals 	 RedSox friends: 33 	 Cardinals friends: 46
David has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 32
Davin has 	 fav team: Cardinals 	 RedSox friends: 21 	 Cardinals friends: 32
Davion has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 18
Davis has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 32
Davon has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 37
Dawson has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 28
Dax has 	 fav team: Red Sox 	 RedSox friends: 56 	 Cardinals friends: 26
Daxton has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 33
Dayana has 	 fav team: Cardinals 	 RedSox friends: 19 	 Cardinals friends: 49
Dayton has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 47
Deacon has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 48
Dean has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 31
Deandre has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 55
Deangelo has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 36
Deanna has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 52
Deborah has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 37
Declan has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 25
Deegan has 	 fav team: Cardinals 	 RedSox friends: 24 	 Cardinals friends: 47
Delaney has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 59
Delilah has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 20
Demarcus has 	 fav team: Red Sox 	 RedSox friends: 34 	 Cardinals friends: 29
Demetrius has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 25
Demi has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 23
Denise has 	 fav team: Cardinals 	 RedSox friends: 17 	 Cardinals friends: 47
Dennis has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 27
Denzel has 	 fav team: Cardinals 	 RedSox friends: 18 	 Cardinals friends: 43
Deon has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 55
Derek has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 22
Derick has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 37
Derrick has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 38
Deshawn has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 32
Desiree has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 31
Desmond has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 32
Destinee has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 52
Destiny has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 23
Devan has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 42
Devin has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 34
Devon has 	 fav team: Red Sox 	 RedSox friends: 43 	 Cardinals friends: 27
Devyn has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 27
Dexter has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 42
Diamond has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 26
Diana has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 29
Diego has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 20
Dillon has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 59
Dixie has 	 fav team: Cardinals 	 RedSox friends: 32 	 Cardinals friends: 38
Dominic has 	 fav team: Red Sox 	 RedSox friends: 51 	 Cardinals friends: 33
Dominick has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 24
Dominik has 	 fav team: Red Sox 	 RedSox friends: 49 	 Cardinals friends: 29
Dominique has 	 fav team: Red Sox 	 RedSox friends: 59 	 Cardinals friends: 40
Donald has 	 fav team: Cardinals 	 RedSox friends: 35 	 Cardinals friends: 39
Donovan has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 33
Donte has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 51
Dorian has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 32
Dorothy has 	 fav team: Red Sox 	 RedSox friends: 41 	 Cardinals friends: 34
Douglas has 	 fav team: Red Sox 	 RedSox friends: 52 	 Cardinals friends: 33
Drake has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 48
Draven has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 48
Drew has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 31
Dulce has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 26
Duncan has 	 fav team: Red Sox 	 RedSox friends: 40 	 Cardinals friends: 26
Dustin has 	 fav team: Red Sox 	 RedSox friends: 39 	 Cardinals friends: 18
Dwayne has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 28
Dylan has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 40
Ean has 	 fav team: Cardinals 	 RedSox friends: 29 	 Cardinals friends: 49
Easton has 	 fav team: Cardinals 	 RedSox friends: 23 	 Cardinals friends: 47
Eddie has 	 fav team: Red Sox 	 RedSox friends: 44 	 Cardinals friends: 33
Eden has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 41
Edgar has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 30
Edison has 	 fav team: Red Sox 	 RedSox friends: 53 	 Cardinals friends: 23
Edith has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 29
Eduardo has 	 fav team: Red Sox 	 RedSox friends: 40 	 Cardinals friends: 27
Edward has 	 fav team: Red Sox 	 RedSox friends: 54 	 Cardinals friends: 31
Edwin has 	 fav team: Cardinals 	 RedSox friends: 36 	 Cardinals friends: 60
Efrain has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 35
Eileen has 	 fav team: Red Sox 	 RedSox friends: 58 	 Cardinals friends: 31
Elaina has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 24
Elaine has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 35
Eleanor has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 51
Elena has 	 fav team: Cardinals 	 RedSox friends: 30 	 Cardinals friends: 51
Eli has 	 fav team: Cardinals 	 RedSox friends: 27 	 Cardinals friends: 48
Elian has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 34
Eliana has 	 fav team: Red Sox 	 RedSox friends: 38 	 Cardinals friends: 37
Elianna has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 33
Elias has 	 fav team: Cardinals 	 RedSox friends: 25 	 Cardinals friends: 47
Elijah has 	 fav team: Cardinals 	 RedSox friends: 28 	 Cardinals friends: 50
Elin has 	 fav team: Cardinals 	 RedSox friends: 18 	 Cardinals friends: 39
Eliot has 	 fav team: Cardinals 	 RedSox friends: 26 	 Cardinals friends: 58
Elisa has 	 fav team: Red Sox 	 RedSox friends: 59 	 Cardinals friends: 30
Elisabeth has 	 fav team: Red Sox 	 RedSox friends: 55 	 Cardinals friends: 39
Elise has 	 fav team: Cardinals 	 RedSox friends: 22 	 Cardinals friends: 47
Eliseo has 	 fav team: Cardinals 	 RedSox friends: 41 	 Cardinals friends: 41
Elisha has 	 fav team: Red Sox 	 RedSox friends: 48 	 Cardinals friends: 21
Elissa has 	 fav team: Red Sox 	 RedSox friends: 45 	 Cardinals friends: 31
Eliza has 	 fav team: Red Sox 	 RedSox friends: 40 	 Cardinals friends: 24
Elizabeth has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 29
Ella has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 20
Elle has 	 fav team: Red Sox 	 RedSox friends: 46 	 Cardinals friends: 38
Ellen has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 20
Elliana has 	 fav team: Cardinals 	 RedSox friends: 38 	 Cardinals friends: 54
Ellie has 	 fav team: Red Sox 	 RedSox friends: 50 	 Cardinals friends: 27
Elliot has 	 fav team: Cardinals 	 RedSox friends: 20 	 Cardinals friends: 45
Elliott has 	 fav team: Cardinals 	 RedSox friends: 31 	 Cardinals friends: 41
Ellis has 	 fav team: Red Sox 	 RedSox friends: 47 	 Cardinals friends: 27
Eloise has 	 fav team: Red Sox 	 RedSox friends: 42 	 Cardinals friends: 40
Elsa has 	 fav team: Cardinals 	 RedSox friends: 37 	 Cardinals friends: 44
